Cours d'eau, Embouchure, Bassin, Longueur (km)
Mignon,Sèvre Niortaise,Sèvre Niortaise,41
Néant,Beuvron,Loire,41
Nivelle,Océan Atlantique,Nivelle,4118
Orbiel,Aude,Aude,41
Renon,Veyle,Rhône,41
Saâne,Manche,Saâne,41
Santoire,Rhue,Dordogne,41
Savoureuse,Allaine,Rhône,41
Semouse,Lanterne,Rhône,41
Sichon,Allier,Loire,41
Surmelin,Marne,Seine,41
Suzon,Ouche,Rhône,41
Ternoise,Canche,Canche,41
Vouzance,Loire,Loire,41
Ance du Sud,Allier,Loire,40
Auzon,Aube,Seine,40
Beuvron,Yonne,Seine,40
Bonne,Drac,Rhône,40
Bourbeuse,Allaine,Rhône,40
Bruxenelle,Saulx,Seine,40
Couze Chambon,Allier,Loire,40
Drouette,Eure,Seine,40
Gier,Rhône,Rhône,40
Herbasse,Isère,Rhône,40
Nonette,Oise,Seine,40
Penzé,Manche,Penzé,40
Roya,Mer Méditerranée,Roya,4019
Superbe,Aube,Seine,40
Taute,Douve,Douve,40
Varèze,Rhône,Rhône,40
Vern,Isle,Dordogne,40
Volp,Garonne,Garonne,40
Yères,Manche,Yères,40
Altier,Chassezac,Rhône,39
Ardre,Vesle,Seine,39
Aven,Océan Atlantique,Aven,39
Bès,Bléone,Rhône,39
Brévenne,Azergues,Rhône,39
Couze d'Ardes,Allier,Loire,39
Doron de Bozel,Isère,Rhône,39
Drée,Arroux,Loire,39
Drugeon,Doubs,Rhône,39
Esves,Creuse,Loire,39
Furan,Loire,Loire,39
Gorre,Vienne,Loire,39
Jabron,Roubion,Rhône,39
Jonte,Tarn,Garonne,39
Laizon,Dives,Dives,39
Lausset,Gave d'Oloron,Adour,39
Lauter,Rhin,Rhin,3920
Léès,Léez,Adour,39
Lézert,Viaur,Garonne,39
Montane,Saint-Bonnette,Dordogne,39
Nère,Sauldre,Loire,39
Orain,Doubs,Rhône,39
Orvanne,Loing,Seine,39
Sasse,Durance,Rhône,39
